SPX Index;;;S5SFTW Index;;;S5PHRM Index;;;S5CPGS Index;;;S5ENRSX Index;;;S5FDBT Index;;;S5TECH Index;;;S5RETL Index;;;S5BANKX Index;;;S5HCES Index;;;S5DIVF Index;;;S5UTILX Index;;;S5MEDA Index;;;S5REAL Index;;;S5TELSX Index;;;S5MATRX Index;;;S5INSU Index;;;S5FDSR Index;;;S5HOUS Index;;;S5SSEQX Index;;;S5TRAN Index;;;S5HOTR Index;;;S5CODU Index;;;S5AUCO Index;;;S5COMS Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
9/25/1989;344.23;;9/25/1989;51.29;;9/25/1989;63.49;;9/25/1989;68.23;;9/25/1989;82.27;;9/25/1989;57.95;;9/25/1989;77.09;;9/25/1989;66.2;;9/25/1989;89.06;;9/25/1989;76.15;;9/25/1989;69.1142;;9/25/1989;95.51;;9/25/1989;80.82;;9/25/1989;#N/A N/A;;9/25/1989;90.93;;9/25/1989;78.32;;9/25/1989;76.65;;9/25/1989;72.06;;9/25/1989;48.77;;9/25/1989;28.05;;9/25/1989;88.05;;9/25/1989;71.41;;9/25/1989;77.35;;9/25/1989;85.75;;9/25/1989;94.63
9/26/1989;344.33;;9/26/1989;51.03;;9/26/1989;63.38;;9/26/1989;68.25;;9/26/1989;81.64;;9/26/1989;58.19;;9/26/1989;77.45;;9/26/1989;66.51;;9/26/1989;88.97;;9/26/1989;76.01;;9/26/1989;68.9865;;9/26/1989;95.44;;9/26/1989;81.39;;9/26/1989;#N/A N/A;;9/26/1989;91.01;;9/26/1989;78.05;;9/26/1989;77.28;;9/26/1989;72.28;;9/26/1989;48.69;;9/26/1989;28.24;;9/26/1989;87.45;;9/26/1989;71.58;;9/26/1989;77.32;;9/26/1989;86.6;;9/26/1989;94.75
9/27/1989;345.1;;9/27/1989;51.29;;9/27/1989;64.51;;9/27/1989;68.46;;9/27/1989;81.69;;9/27/1989;58.74;;9/27/1989;75.28;;9/27/1989;66.93;;9/27/1989;89.44;;9/27/1989;76.29;;9/27/1989;69.3624;;9/27/1989;95.28;;9/27/1989;81.53;;9/27/1989;#N/A N/A;;9/27/1989;91.28;;9/27/1989;78.15;;9/27/1989;77.78;;9/27/1989;72.4;;9/27/1989;48.6;;9/27/1989;28.06;;9/27/1989;87.51;;9/27/1989;71.85;;9/27/1989;77.65;;9/27/1989;86.22;;9/27/1989;96.55
9/28/1989;348.6;;9/28/1989;52.28;;9/28/1989;65.97;;9/28/1989;68.95;;9/28/1989;82.13;;9/28/1989;60.26;;9/28/1989;74.32;;9/28/1989;67.65;;9/28/1989;91.46;;9/28/1989;77.32;;9/28/1989;69.6213;;9/28/1989;95.73;;9/28/1989;82.15;;9/28/1989;#N/A N/A;;9/28/1989;92.26;;9/28/1989;78.55;;9/28/1989;78.84;;9/28/1989;73.47;;9/28/1989;49.35;;9/28/1989;28.29;;9/28/1989;88.69;;9/28/1989;72.94;;9/28/1989;78.31;;9/28/1989;86.33;;9/28/1989;98.86
9/29/1989;349.15;;9/29/1989;52.2;;9/29/1989;65.97;;9/29/1989;68.87;;9/29/1989;82.42;;9/29/1989;60.52;;9/29/1989;74.29;;9/29/1989;67.52;;9/29/1989;92.05;;9/29/1989;77.54;;9/29/1989;69.9496;;9/29/1989;95.71;;9/29/1989;82.19;;9/29/1989;#N/A N/A;;9/29/1989;92.56;;9/29/1989;78.8;;9/29/1989;80.34;;9/29/1989;73.61;;9/29/1989;49.22;;9/29/1989;28.3;;9/29/1989;89.27;;9/29/1989;72.39;;9/29/1989;78.07;;9/29/1989;85.26;;9/29/1989;98.48
10/2/1989;350.87;;10/2/1989;52.29;;10/2/1989;65.89;;10/2/1989;69.39;;10/2/1989;83.04;;10/2/1989;60.69;;10/2/1989;73.97;;10/2/1989;67.73;;10/2/1989;92.3;;10/2/1989;78.67;;10/2/1989;70.7756;;10/2/1989;95.88;;10/2/1989;82.98;;10/2/1989;#N/A N/A;;10/2/1989;92.65;;10/2/1989;79.52;;10/2/1989;81.27;;10/2/1989;73.98;;10/2/1989;49.55;;10/2/1989;28.2;;10/2/1989;89.8;;10/2/1989;72.31;;10/2/1989;79.37;;10/2/1989;85.97;;10/2/1989;98.93
10/3/1989;354.71;;10/3/1989;53.17;;10/3/1989;67;;10/3/1989;70.25;;10/3/1989;83.92;;10/3/1989;61.68;;10/3/1989;72.73;;10/3/1989;68.73;;10/3/1989;92.94;;10/3/1989;80;;10/3/1989;73.1001;;10/3/1989;96.29;;10/3/1989;83.75;;10/3/1989;#N/A N/A;;10/3/1989;93.79;;10/3/1989;80.44;;10/3/1989;82.9;;10/3/1989;74.91;;10/3/1989;50.54;;10/3/1989;27.97;;10/3/1989;90.52;;10/3/1989;73.19;;10/3/1989;79.4;;10/3/1989;87.76;;10/3/1989;99.65
10/4/1989;356.94;;10/4/1989;53.33;;10/4/1989;67.58;;10/4/1989;70.53;;10/4/1989;84.44;;10/4/1989;62.03;;10/4/1989;74.04;;10/4/1989;68.97;;10/4/1989;93.69;;10/4/1989;80.85;;10/4/1989;73.4826;;10/4/1989;96.23;;10/4/1989;84.43;;10/4/1989;#N/A N/A;;10/4/1989;94.68;;10/4/1989;80.72;;10/4/1989;82.97;;10/4/1989;75.79;;10/4/1989;51.15;;10/4/1989;28.49;;10/4/1989;91.02;;10/4/1989;72.69;;10/4/1989;79.9;;10/4/1989;88.1;;10/4/1989;100.28
10/5/1989;356.97;;10/5/1989;53.48;;10/5/1989;67.62;;10/5/1989;70.42;;10/5/1989;84.48;;10/5/1989;62.19;;10/5/1989;74.37;;10/5/1989;69.07;;10/5/1989;93.27;;10/5/1989;81.22;;10/5/1989;73.4084;;10/5/1989;96.25;;10/5/1989;83.95;;10/5/1989;#N/A N/A;;10/5/1989;94.67;;10/5/1989;80.25;;10/5/1989;82.93;;10/5/1989;75.76;;10/5/1989;51.16;;10/5/1989;28.84;;10/5/1989;92.96;;10/5/1989;73.43;;10/5/1989;79.48;;10/5/1989;88.22;;10/5/1989;100.21
10/6/1989;358.78;;10/6/1989;53.19;;10/6/1989;68.15;;10/6/1989;70.69;;10/6/1989;85.71;;10/6/1989;62.65;;10/6/1989;74.83;;10/6/1989;69.39;;10/6/1989;93.61;;10/6/1989;80.82;;10/6/1989;73.6146;;10/6/1989;96.26;;10/6/1989;84.49;;10/6/1989;#N/A N/A;;10/6/1989;95.57;;10/6/1989;80.01;;10/6/1989;82.95;;10/6/1989;75.65;;10/6/1989;51.85;;10/6/1989;29.06;;10/6/1989;93.01;;10/6/1989;73.55;;10/6/1989;79.44;;10/6/1989;88.22;;10/6/1989;100.03
10/9/1989;359.8;;10/9/1989;53.86;;10/9/1989;68.38;;10/9/1989;70.69;;10/9/1989;86.1;;10/9/1989;62.59;;10/9/1989;76.22;;10/9/1989;69.59;;10/9/1989;93.67;;10/9/1989;81.16;;10/9/1989;74.1237;;10/9/1989;96.6;;10/9/1989;85.47;;10/9/1989;#N/A N/A;;10/9/1989;95.06;;10/9/1989;79.96;;10/9/1989;83.08;;10/9/1989;75.9;;10/9/1989;52.47;;10/9/1989;29.72;;10/9/1989;93.65;;10/9/1989;73.38;;10/9/1989;79.88;;10/9/1989;88.01;;10/9/1989;100.09
10/10/1989;359.13;;10/10/1989;53.88;;10/10/1989;68.46;;10/10/1989;70.66;;10/10/1989;85.89;;10/10/1989;62.56;;10/10/1989;75.95;;10/10/1989;69.58;;10/10/1989;93.34;;10/10/1989;80.94;;10/10/1989;73.7442;;10/10/1989;96.7;;10/10/1989;85.13;;10/10/1989;#N/A N/A;;10/10/1989;94.24;;10/10/1989;79.94;;10/10/1989;83;;10/10/1989;76.01;;10/10/1989;52.3;;10/10/1989;29.55;;10/10/1989;93;;10/10/1989;73.93;;10/10/1989;79.78;;10/10/1989;87.47;;10/10/1989;100.89
10/11/1989;356.99;;10/11/1989;53.72;;10/11/1989;68.19;;10/11/1989;70.4;;10/11/1989;85.58;;10/11/1989;62.37;;10/11/1989;75.33;;10/11/1989;69.12;;10/11/1989;92.69;;10/11/1989;80.03;;10/11/1989;72.8952;;10/11/1989;96.5;;10/11/1989;84.71;;10/11/1989;#N/A N/A;;10/11/1989;93.37;;10/11/1989;79.34;;10/11/1989;82.51;;10/11/1989;75.12;;10/11/1989;52.28;;10/11/1989;28.9;;10/11/1989;91.63;;10/11/1989;72.94;;10/11/1989;79.51;;10/11/1989;86.58;;10/11/1989;99.99
10/12/1989;355.39;;10/12/1989;53.66;;10/12/1989;67.44;;10/12/1989;70.18;;10/12/1989;85.38;;10/12/1989;61.84;;10/12/1989;75.14;;10/12/1989;68.9;;10/12/1989;91.93;;10/12/1989;80.03;;10/12/1989;72.3639;;10/12/1989;96.49;;10/12/1989;83.73;;10/12/1989;#N/A N/A;;10/12/1989;93.46;;10/12/1989;79.07;;10/12/1989;82.48;;10/12/1989;74.8;;10/12/1989;51.76;;10/12/1989;28.87;;10/12/1989;91.36;;10/12/1989;72.41;;10/12/1989;79.15;;10/12/1989;85.69;;10/12/1989;99.5
10/13/1989;333.62;;10/13/1989;50.27;;10/13/1989;63.08;;10/13/1989;65.73;;10/13/1989;80.06;;10/13/1989;57.34;;10/13/1989;70.45;;10/13/1989;64.88;;10/13/1989;85.51;;10/13/1989;74.88;;10/13/1989;66.3897;;10/13/1989;93.44;;10/13/1989;78.02;;10/13/1989;#N/A N/A;;10/13/1989;87.83;;10/13/1989;74.28;;10/13/1989;78.86;;10/13/1989;70.15;;10/13/1989;48.67;;10/13/1989;27.01;;10/13/1989;85.71;;10/13/1989;66.8;;10/13/1989;74.18;;10/13/1989;80.92;;10/13/1989;94.29
10/16/1989;342.85;;10/16/1989;50.85;;10/16/1989;65.52;;10/16/1989;67.61;;10/16/1989;82.75;;10/16/1989;59.86;;10/16/1989;72.41;;10/16/1989;66.91;;10/16/1989;87.32;;10/16/1989;75.78;;10/16/1989;69.3633;;10/16/1989;94.92;;10/16/1989;79.8;;10/16/1989;#N/A N/A;;10/16/1989;91.65;;10/16/1989;75.62;;10/16/1989;79.59;;10/16/1989;71.92;;10/16/1989;49.61;;10/16/1989;27.74;;10/16/1989;82.45;;10/16/1989;69.78;;10/16/1989;74.96;;10/16/1989;83.21;;10/16/1989;96.55
10/17/1989;341.16;;10/17/1989;51.26;;10/17/1989;65.61;;10/17/1989;67.16;;10/17/1989;82.72;;10/17/1989;60.08;;10/17/1989;71.97;;10/17/1989;66.11;;10/17/1989;86.37;;10/17/1989;75.85;;10/17/1989;68.9708;;10/17/1989;94.94;;10/17/1989;79.01;;10/17/1989;#N/A N/A;;10/17/1989;91.2;;10/17/1989;74.76;;10/17/1989;79.09;;10/17/1989;71.19;;10/17/1989;49.97;;10/17/1989;27.73;;10/17/1989;80.45;;10/17/1989;69.18;;10/17/1989;74.69;;10/17/1989;82.35;;10/17/1989;95.63
10/18/1989;341.76;;10/18/1989;51.91;;10/18/1989;65.71;;10/18/1989;67.13;;10/18/1989;82.87;;10/18/1989;60.44;;10/18/1989;72.15;;10/18/1989;65.84;;10/18/1989;85.77;;10/18/1989;76.81;;10/18/1989;68.9153;;10/18/1989;94.75;;10/18/1989;79.15;;10/18/1989;#N/A N/A;;10/18/1989;91.39;;10/18/1989;74.95;;10/18/1989;80.82;;10/18/1989;70.7;;10/18/1989;50.33;;10/18/1989;27.93;;10/18/1989;80.25;;10/18/1989;69.54;;10/18/1989;74.86;;10/18/1989;82.22;;10/18/1989;95.57
10/19/1989;347.13;;10/19/1989;52.97;;10/19/1989;67.07;;10/19/1989;67.9;;10/19/1989;83.75;;10/19/1989;61.64;;10/19/1989;73.8;;10/19/1989;67.23;;10/19/1989;86.6;;10/19/1989;78.29;;10/19/1989;70.6052;;10/19/1989;95.61;;10/19/1989;81.11;;10/19/1989;#N/A N/A;;10/19/1989;92.81;;10/19/1989;75.97;;10/19/1989;82.73;;10/19/1989;71.94;;10/19/1989;50.85;;10/19/1989;28.77;;10/19/1989;81.4;;10/19/1989;70.33;;10/19/1989;75.95;;10/19/1989;83.01;;10/19/1989;97.02
10/20/1989;347.16;;10/20/1989;52.67;;10/20/1989;66.85;;10/20/1989;67.9;;10/20/1989;83.93;;10/20/1989;61.51;;10/20/1989;73.56;;10/20/1989;67.26;;10/20/1989;86.3;;10/20/1989;78.33;;10/20/1989;71.3927;;10/20/1989;95.91;;10/20/1989;80.9;;10/20/1989;#N/A N/A;;10/20/1989;93.22;;10/20/1989;75.56;;10/20/1989;83.57;;10/20/1989;72.04;;10/20/1989;51.05;;10/20/1989;28.54;;10/20/1989;80.95;;10/20/1989;70.49;;10/20/1989;75.98;;10/20/1989;82.97;;10/20/1989;96.88
10/23/1989;344.83;;10/23/1989;52.02;;10/23/1989;66.76;;10/23/1989;67.36;;10/23/1989;82.96;;10/23/1989;61.44;;10/23/1989;72.85;;10/23/1989;66.46;;10/23/1989;85.58;;10/23/1989;77.95;;10/23/1989;70.4255;;10/23/1989;95.77;;10/23/1989;81.08;;10/23/1989;#N/A N/A;;10/23/1989;92.25;;10/23/1989;74.74;;10/23/1989;82.86;;10/23/1989;71.66;;10/23/1989;51.1;;10/23/1989;27.66;;10/23/1989;80.71;;10/23/1989;71.37;;10/23/1989;75.55;;10/23/1989;82.49;;10/23/1989;96.42
10/24/1989;343.7;;10/24/1989;52.46;;10/24/1989;66.56;;10/24/1989;67.22;;10/24/1989;82.42;;10/24/1989;61.84;;10/24/1989;72.74;;10/24/1989;66.41;;10/24/1989;84.44;;10/24/1989;79.42;;10/24/1989;69.7867;;10/24/1989;95.48;;10/24/1989;80.74;;10/24/1989;#N/A N/A;;10/24/1989;91.51;;10/24/1989;74.09;;10/24/1989;82.61;;10/24/1989;71.42;;10/24/1989;51.53;;10/24/1989;27.4;;10/24/1989;79.56;;10/24/1989;72.68;;10/24/1989;74.91;;10/24/1989;82.63;;10/24/1989;96.08
10/25/1989;342.5;;10/25/1989;51.57;;10/25/1989;66.6;;10/25/1989;66.68;;10/25/1989;82.53;;10/25/1989;61.28;;10/25/1989;72.13;;10/25/1989;65.92;;10/25/1989;83.87;;10/25/1989;78.7;;10/25/1989;69.5434;;10/25/1989;95.82;;10/25/1989;80.06;;10/25/1989;#N/A N/A;;10/25/1989;91.83;;10/25/1989;73.92;;10/25/1989;84.03;;10/25/1989;71.72;;10/25/1989;50.8;;10/25/1989;27.06;;10/25/1989;79.27;;10/25/1989;71.46;;10/25/1989;75.08;;10/25/1989;80.84;;10/25/1989;95.32
10/26/1989;337.93;;10/26/1989;50.29;;10/26/1989;65.93;;10/26/1989;65.63;;10/26/1989;81.2;;10/26/1989;60.12;;10/26/1989;70.77;;10/26/1989;64.96;;10/26/1989;82.66;;10/26/1989;77.65;;10/26/1989;68.9366;;10/26/1989;95.43;;10/26/1989;78.86;;10/26/1989;#N/A N/A;;10/26/1989;90.82;;10/26/1989;73.14;;10/26/1989;83.72;;10/26/1989;70.82;;10/26/1989;49.8;;10/26/1989;26.53;;10/26/1989;79.09;;10/26/1989;70.43;;10/26/1989;73.74;;10/26/1989;79.58;;10/26/1989;94.29
10/27/1989;335.06;;10/27/1989;48.48;;10/27/1989;64.92;;10/27/1989;64.91;;10/27/1989;81.44;;10/27/1989;59.52;;10/27/1989;70.43;;10/27/1989;64.41;;10/27/1989;80.9;;10/27/1989;76.67;;10/27/1989;67.4995;;10/27/1989;95.6;;10/27/1989;77.95;;10/27/1989;#N/A N/A;;10/27/1989;89.9;;10/27/1989;72.94;;10/27/1989;82.47;;10/27/1989;70.22;;10/27/1989;49.35;;10/27/1989;26.35;;10/27/1989;78.04;;10/27/1989;69.94;;10/27/1989;72.72;;10/27/1989;79.01;;10/27/1989;93.04
10/30/1989;335.07;;10/30/1989;48.02;;10/30/1989;65.14;;10/30/1989;64.99;;10/30/1989;81.39;;10/30/1989;59.6;;10/30/1989;70.08;;10/30/1989;63.92;;10/30/1989;80.52;;10/30/1989;76.42;;10/30/1989;67.7391;;10/30/1989;95.81;;10/30/1989;77.89;;10/30/1989;#N/A N/A;;10/30/1989;90.31;;10/30/1989;72.9;;10/30/1989;81.96;;10/30/1989;70.43;;10/30/1989;49.91;;10/30/1989;26.51;;10/30/1989;78.09;;10/30/1989;69.92;;10/30/1989;72.71;;10/30/1989;78.49;;10/30/1989;93.71
10/31/1989;340.36;;10/31/1989;49.03;;10/31/1989;66.53;;10/31/1989;66.14;;10/31/1989;82.92;;10/31/1989;60.59;;10/31/1989;71.15;;10/31/1989;64.9;;10/31/1989;81.88;;10/31/1989;77.08;;10/31/1989;68.7779;;10/31/1989;97.11;;10/31/1989;78.39;;10/31/1989;#N/A N/A;;10/31/1989;91.36;;10/31/1989;74.48;;10/31/1989;83.03;;10/31/1989;71.65;;10/31/1989;50.62;;10/31/1989;27.24;;10/31/1989;79;;10/31/1989;70.57;;10/31/1989;73.72;;10/31/1989;79.45;;10/31/1989;94.82
11/1/1989;341.2;;11/1/1989;49.65;;11/1/1989;67.13;;11/1/1989;66.18;;11/1/1989;82.89;;11/1/1989;60.91;;11/1/1989;70.98;;11/1/1989;64.87;;11/1/1989;81.86;;11/1/1989;77.6;;11/1/1989;68.3302;;11/1/1989;97.88;;11/1/1989;78.43;;11/1/1989;#N/A N/A;;11/1/1989;91.43;;11/1/1989;74.52;;11/1/1989;84.22;;11/1/1989;72.06;;11/1/1989;50.39;;11/1/1989;27.03;;11/1/1989;78.72;;11/1/1989;70.64;;11/1/1989;74.55;;11/1/1989;79.73;;11/1/1989;95.4
11/2/1989;338.48;;11/2/1989;47.59;;11/2/1989;66.85;;11/2/1989;65.67;;11/2/1989;82.37;;11/2/1989;60.47;;11/2/1989;68.93;;11/2/1989;64.75;;11/2/1989;81.08;;11/2/1989;77.36;;11/2/1989;67.326;;11/2/1989;97.8;;11/2/1989;77.89;;11/2/1989;#N/A N/A;;11/2/1989;90.85;;11/2/1989;74.24;;11/2/1989;84.35;;11/2/1989;71.2;;11/2/1989;49.79;;11/2/1989;26.24;;11/2/1989;77.93;;11/2/1989;70;;11/2/1989;73.24;;11/2/1989;78.76;;11/2/1989;94.38
11/3/1989;337.62;;11/3/1989;47.33;;11/3/1989;66.52;;11/3/1989;65.42;;11/3/1989;82.35;;11/3/1989;60.24;;11/3/1989;68.48;;11/3/1989;64.43;;11/3/1989;80.52;;11/3/1989;77.45;;11/3/1989;66.6483;;11/3/1989;97.79;;11/3/1989;77.99;;11/3/1989;#N/A N/A;;11/3/1989;90.57;;11/3/1989;74.1;;11/3/1989;85.06;;11/3/1989;70.94;;11/3/1989;49.68;;11/3/1989;25.67;;11/3/1989;78.65;;11/3/1989;69.31;;11/3/1989;73.06;;11/3/1989;78.41;;11/3/1989;93.81
11/6/1989;332.61;;11/6/1989;46.36;;11/6/1989;65.41;;11/6/1989;64.4;;11/6/1989;81.23;;11/6/1989;59.07;;11/6/1989;67.28;;11/6/1989;63.81;;11/6/1989;78.73;;11/6/1989;76.91;;11/6/1989;65.7218;;11/6/1989;96.78;;11/6/1989;76.94;;11/6/1989;#N/A N/A;;11/6/1989;89.63;;11/6/1989;73;;11/6/1989;83.87;;11/6/1989;70.46;;11/6/1989;49.31;;11/6/1989;25.1;;11/6/1989;77.45;;11/6/1989;67.93;;11/6/1989;71.92;;11/6/1989;76;;11/6/1989;92.91
11/7/1989;334.81;;11/7/1989;47.14;;11/7/1989;66.1;;11/7/1989;64.73;;11/7/1989;81.64;;11/7/1989;59.44;;11/7/1989;68.17;;11/7/1989;64.29;;11/7/1989;79.65;;11/7/1989;77.25;;11/7/1989;65.8434;;11/7/1989;97.54;;11/7/1989;76.79;;11/7/1989;#N/A N/A;;11/7/1989;90.38;;11/7/1989;73.41;;11/7/1989;84.15;;11/7/1989;70.5;;11/7/1989;49.59;;11/7/1989;25.9;;11/7/1989;77.23;;11/7/1989;68.54;;11/7/1989;72.48;;11/7/1989;77.18;;11/7/1989;92.76
11/8/1989;338.15;;11/8/1989;48;;11/8/1989;67.31;;11/8/1989;65.6;;11/8/1989;81.9;;11/8/1989;60.45;;11/8/1989;67.91;;11/8/1989;64.94;;11/8/1989;81.46;;11/8/1989;78.01;;11/8/1989;66.6771;;11/8/1989;98.1;;11/8/1989;77.92;;11/8/1989;#N/A N/A;;11/8/1989;91.21;;11/8/1989;73.64;;11/8/1989;85.21;;11/8/1989;70.69;;11/8/1989;50.29;;11/8/1989;26.08;;11/8/1989;77.59;;11/8/1989;69.04;;11/8/1989;73.03;;11/8/1989;78.11;;11/8/1989;94.15
11/9/1989;336.57;;11/9/1989;48.07;;11/9/1989;67.53;;11/9/1989;65.46;;11/9/1989;80.95;;11/9/1989;60.09;;11/9/1989;68.1;;11/9/1989;64.38;;11/9/1989;81.43;;11/9/1989;78.08;;11/9/1989;66.6671;;11/9/1989;97.46;;11/9/1989;78.04;;11/9/1989;#N/A N/A;;11/9/1989;90.76;;11/9/1989;72.93;;11/9/1989;84.91;;11/9/1989;70.43;;11/9/1989;49.55;;11/9/1989;26.34;;11/9/1989;77.24;;11/9/1989;68.75;;11/9/1989;72.1;;11/9/1989;77.89;;11/9/1989;94.1
11/10/1989;339.1;;11/10/1989;48.19;;11/10/1989;68.67;;11/10/1989;66;;11/10/1989;81.51;;11/10/1989;60.41;;11/10/1989;68.77;;11/10/1989;65;;11/10/1989;81.67;;11/10/1989;78.69;;11/10/1989;66.3478;;11/10/1989;97.96;;11/10/1989;78.58;;11/10/1989;#N/A N/A;;11/10/1989;91.58;;11/10/1989;73.37;;11/10/1989;85.09;;11/10/1989;71.13;;11/10/1989;50.34;;11/10/1989;26.89;;11/10/1989;77.96;;11/10/1989;70.32;;11/10/1989;72.72;;11/10/1989;77.69;;11/10/1989;94.32
11/13/1989;339.55;;11/13/1989;48.51;;11/13/1989;67.62;;11/13/1989;66.45;;11/13/1989;81.84;;11/13/1989;60.69;;11/13/1989;68.4;;11/13/1989;65.13;;11/13/1989;81.74;;11/13/1989;78.45;;11/13/1989;66.4652;;11/13/1989;97.85;;11/13/1989;79.26;;11/13/1989;#N/A N/A;;11/13/1989;91.59;;11/13/1989;73.82;;11/13/1989;84.68;;11/13/1989;71.45;;11/13/1989;50.7;;11/13/1989;26.57;;11/13/1989;78.19;;11/13/1989;70.89;;11/13/1989;73.2;;11/13/1989;77.56;;11/13/1989;94.17
11/14/1989;337.99;;11/14/1989;48.76;;11/14/1989;66.91;;11/14/1989;66.19;;11/14/1989;82.04;;11/14/1989;60.02;;11/14/1989;68.1;;11/14/1989;64.57;;11/14/1989;81.34;;11/14/1989;78.4;;11/14/1989;65.5529;;11/14/1989;97.94;;11/14/1989;78.74;;11/14/1989;#N/A N/A;;11/14/1989;91.2;;11/14/1989;73.67;;11/14/1989;84.07;;11/14/1989;70.89;;11/14/1989;50.56;;11/14/1989;26.6;;11/14/1989;77.76;;11/14/1989;71.22;;11/14/1989;72.75;;11/14/1989;76.63;;11/14/1989;94.22
11/15/1989;340.54;;11/15/1989;49.79;;11/15/1989;67.78;;11/15/1989;66.76;;11/15/1989;82.64;;11/15/1989;60.68;;11/15/1989;68.18;;11/15/1989;64.7;;11/15/1989;81.73;;11/15/1989;78.84;;11/15/1989;66.0221;;11/15/1989;98.55;;11/15/1989;79.33;;11/15/1989;#N/A N/A;;11/15/1989;91.93;;11/15/1989;74.05;;11/15/1989;84.72;;11/15/1989;71.46;;11/15/1989;51.55;;11/15/1989;26.87;;11/15/1989;78.48;;11/15/1989;70.93;;11/15/1989;73.11;;11/15/1989;76.8;;11/15/1989;95.8
11/16/1989;340.58;;11/16/1989;49.91;;11/16/1989;67.66;;11/16/1989;67.06;;11/16/1989;82.57;;11/16/1989;61.24;;11/16/1989;68.18;;11/16/1989;64.75;;11/16/1989;82.1;;11/16/1989;79.18;;11/16/1989;66.8872;;11/16/1989;98.74;;11/16/1989;77.97;;11/16/1989;#N/A N/A;;11/16/1989;91.48;;11/16/1989;74.06;;11/16/1989;85.07;;11/16/1989;71.56;;11/16/1989;51.45;;11/16/1989;26.99;;11/16/1989;78.45;;11/16/1989;70.24;;11/16/1989;72.74;;11/16/1989;76.51;;11/16/1989;95.3
11/17/1989;341.61;;11/17/1989;50.36;;11/17/1989;67.77;;11/17/1989;67.74;;11/17/1989;83.08;;11/17/1989;61.21;;11/17/1989;69.5;;11/17/1989;65.16;;11/17/1989;82.04;;11/17/1989;78.96;;11/17/1989;66.3624;;11/17/1989;98.03;;11/17/1989;78.11;;11/17/1989;#N/A N/A;;11/17/1989;91.51;;11/17/1989;74.2;;11/17/1989;85.37;;11/17/1989;71.77;;11/17/1989;51.49;;11/17/1989;27.34;;11/17/1989;78.2;;11/17/1989;70.1;;11/17/1989;72.84;;11/17/1989;76.8;;11/17/1989;94.98
11/20/1989;339.35;;11/20/1989;49.7;;11/20/1989;67.69;;11/20/1989;66.77;;11/20/1989;82.48;;11/20/1989;60.73;;11/20/1989;69.21;;11/20/1989;64.77;;11/20/1989;80.94;;11/20/1989;78.77;;11/20/1989;66.4793;;11/20/1989;97.4;;11/20/1989;77.76;;11/20/1989;#N/A N/A;;11/20/1989;91.14;;11/20/1989;73.89;;11/20/1989;85.35;;11/20/1989;71.91;;11/20/1989;51.34;;11/20/1989;27.07;;11/20/1989;76.96;;11/20/1989;69.8;;11/20/1989;72.19;;11/20/1989;75.82;;11/20/1989;94.24
11/21/1989;339.59;;11/21/1989;49.44;;11/21/1989;67.81;;11/21/1989;66.68;;11/21/1989;82.8;;11/21/1989;60.74;;11/21/1989;69.54;;11/21/1989;64.47;;11/21/1989;80.62;;11/21/1989;79.1;;11/21/1989;66.7042;;11/21/1989;97.59;;11/21/1989;77.29;;11/21/1989;#N/A N/A;;11/21/1989;91.4;;11/21/1989;74.14;;11/21/1989;85.29;;11/21/1989;71.65;;11/21/1989;51.47;;11/21/1989;27.18;;11/21/1989;76.56;;11/21/1989;70.69;;11/21/1989;72.31;;11/21/1989;75.58;;11/21/1989;93.83
11/22/1989;341.91;;11/22/1989;49.24;;11/22/1989;69.18;;11/22/1989;67.15;;11/22/1989;83.55;;11/22/1989;61.35;;11/22/1989;70.17;;11/22/1989;64.45;;11/22/1989;80.63;;11/22/1989;79.68;;11/22/1989;66.9509;;11/22/1989;98.1;;11/22/1989;77.46;;11/22/1989;#N/A N/A;;11/22/1989;92.12;;11/22/1989;74.34;;11/22/1989;85.5;;11/22/1989;71.35;;11/22/1989;52.08;;11/22/1989;28.29;;11/22/1989;77.11;;11/22/1989;71.14;;11/22/1989;72.73;;11/22/1989;75.53;;11/22/1989;94.36
11/23/1989;341.91;;11/23/1989;49.24;;11/23/1989;69.18;;11/23/1989;67.15;;11/23/1989;83.55;;11/23/1989;61.35;;11/23/1989;70.17;;11/23/1989;64.45;;11/23/1989;80.63;;11/23/1989;79.68;;11/23/1989;66.9509;;11/23/1989;98.1;;11/23/1989;77.46;;11/23/1989;#N/A N/A;;11/23/1989;92.12;;11/23/1989;74.34;;11/23/1989;85.5;;11/23/1989;71.35;;11/23/1989;52.08;;11/23/1989;28.29;;11/23/1989;77.11;;11/23/1989;71.14;;11/23/1989;72.73;;11/23/1989;75.53;;11/23/1989;94.36
